ticket_id,account_id,contact_channel,issue_category,reported_date,resolution_time_hours,first_contact_resolved,satisfaction_score
43,43,Phone,Power Outage,1/23/2026 5:59,2.5,Yes,2
44,44,Website,Water Leak,12/26/2025 4:32,7.3,No,3
45,45,Website,High Bill,3/17/2026 3:57,11.1,Yes,1
46,46,Website,Water Leak,4/23/2026 14:38,12.6,No,5
47,47,Website,Power Outage,3/15/2026 17:37,20.6,No,2
48,48,Mobile App,High Bill,7/9/2026 21:54,19.2,Yes,3
49,49,Mobile App,Power Outage,10/15/2025 0:14,13.1,No,1
50,50,Website,Power Outage,11/12/2025 17:18,7.2,Yes,3
51,51,Website,Power Outage,5/13/2026 4:11,6.3,Yes,5
52,52,Phone,High Bill,2/7/2026 12:01,18.1,Yes,2
53,53,Phone,Move In/Out,10/4/2025 11:23,12.4,Yes,3
54,54,Mobile App,High Bill,6/20/2026 16:52,19,No,4
55,55,Website,Power Outage,10/25/2025 8:41,2.6,No,2
56,56,Mobile App,Water Leak,3/27/2026 5:22,16.7,Yes,1
57,57,Mobile App,Move In/Out,9/24/2025 16:27,6.1,Yes,3
58,58,Mobile App,Water Leak,6/13/2026 19:26,13.2,Yes,4
59,59,Mobile App,High Bill,10/12/2025 13:48,17.5,Yes,2
60,60,Mobile App,High Bill,2/16/2026 10:51,24,Yes,5
61,61,Website,Water Leak,5/23/2026 20:58,18.5,Yes,2
62,62,Phone,High Bill,5/12/2026 0:34,3.2,Yes,2
63,63,Phone,Water Leak,11/2/2025 14:08,8.1,Yes,2
64,64,Phone,High Bill,7/16/2026 12:06,0.8,Yes,4
65,65,Mobile App,Move In/Out,6/29/2026 18:07,22.6,No,1
66,66,Mobile App,High Bill,10/24/2025 0:20,15.5,No,1
67,67,Phone,Power Outage,4/8/2026 19:18,14,Yes,3
68,68,Website,Power Outage,7/2/2026 20:22,14.6,No,3
69,69,Mobile App,Power Outage,12/13/2025 7:29,14,No,4
70,70,Mobile App,High Bill,11/30/2025 9:29,0.5,No,2
71,71,Mobile App,Power Outage,10/11/2025 15:57,15.8,No,2
72,72,Website,Water Leak,12/11/2025 6:22,3.6,Yes,3
73,73,Phone,Move In/Out,4/6/2026 22:41,3.7,No,1
74,74,Phone,High Bill,2/2/2026 8:32,3.7,Yes,5
75,75,Website,Move In/Out,7/30/2026 23:19,14.5,Yes,3
76,76,Phone,Move In/Out,6/6/2026 16:37,23,No,3
77,77,Mobile App,High Bill,5/4/2026 11:28,13.8,Yes,1
78,78,Mobile App,Water Leak,11/11/2025 5:43,0.3,Yes,3
79,79,Mobile App,Power Outage,2/6/2026 10:45,13.7,Yes,5
80,80,Phone,High Bill,2/13/2026 23:04,19.5,Yes,3
81,81,Mobile App,Power Outage,7/28/2026 0:09,0.7,No,2
82,82,Phone,High Bill,1/24/2026 4:30,3.2,No,4
83,83,Mobile App,High Bill,5/23/2026 1:49,14.7,Yes,2
84,84,Phone,Power Outage,4/3/2026 2:18,0.3,Yes,5
85,85,Website,Water Leak,4/13/2026 7:44,2.2,Yes,4
86,86,Website,Power Outage,2/7/2026 4:23,16.1,Yes,4
87,87,Mobile App,Move In/Out,7/18/2026 0:13,23.8,No,4
88,88,Phone,Water Leak,2/21/2026 10:55,8.6,Yes,2
89,89,Mobile App,Move In/Out,5/2/2026 7:05,21,Yes,3
90,90,Mobile App,Power Outage,4/19/2026 20:27,1.1,No,3
91,91,Website,Water Leak,6/21/2026 13:43,18.6,No,4
92,92,Website,Move In/Out,9/27/2025 23:14,0.8,No,3
93,93,Website,Water Leak,12/7/2025 14:44,13.8,Yes,3
94,94,Mobile App,High Bill,7/17/2026 14:20,13.8,No,3
95,95,Mobile App,Power Outage,1/30/2026 12:09,22.4,Yes,3
96,96,Website,High Bill,10/3/2025 20:13,20.2,No,1
97,97,Mobile App,Water Leak,7/25/2026 22:54,16.5,No,4
98,98,Mobile App,Power Outage,1/8/2026 20:16,4.8,No,5
99,99,Phone,Move In/Out,3/6/2026 5:18,10.7,Yes,3
100,100,Phone,Water Leak,10/26/2025 21:47,4,No,3
101,101,Phone,Water Leak,12/27/2025 3:14,5.5,Yes,3
102,102,Phone,Move In/Out,7/2/2026 19:25,5.2,No,5
103,103,Phone,High Bill,6/21/2026 7:59,14.2,No,2
104,104,Website,Move In/Out,8/19/2026 1:54,9.6,Yes,1
105,105,Website,Power Outage,2/23/2026 20:11,12.8,Yes,1
106,106,Phone,Move In/Out,4/9/2026 1:57,5.1,Yes,4
107,107,Website,High Bill,2/10/2026 23:09,21.2,Yes,1
108,108,Website,Water Leak,7/31/2026 5:22,21.3,No,4
109,109,Website,Power Outage,11/22/2025 6:34,0,No,3
110,110,Website,Move In/Out,3/1/2026 15:36,7.4,Yes,3
111,111,Phone,High Bill,5/28/2026 17:12,22.3,Yes,1
112,112,Website,High Bill,10/30/2025 16:12,16.5,Yes,2
113,113,Phone,Water Leak,11/24/2025 18:56,18,Yes,1
114,114,Mobile App,Power Outage,9/5/2026 12:00,7.7,No,4
115,115,Website,Power Outage,12/9/2025 12:23,5.5,No,1
116,116,Mobile App,Power Outage,4/24/2026 16:29,12.2,Yes,4
117,117,Website,Power Outage,10/15/2025 4:41,10.4,No,5
118,118,Website,Water Leak,5/16/2026 16:59,8.5,Yes,5
119,119,Mobile App,Water Leak,11/10/2025 4:15,13.6,No,3
120,120,Website,High Bill,8/22/2026 19:57,11.5,No,5
121,121,Website,High Bill,10/22/2025 14:44,7.1,Yes,5
122,122,Mobile App,High Bill,5/7/2026 22:07,0.8,No,3
123,123,Mobile App,Water Leak,4/29/2026 9:33,17,Yes,2
124,124,Mobile App,Water Leak,12/13/2025 14:00,1.1,No,2
125,125,Website,Move In/Out,4/5/2026 2:26,23.5,Yes,1
126,126,Website,High Bill,1/8/2026 8:20,23.1,Yes,3
127,127,Phone,Move In/Out,8/20/2026 16:33,6.2,Yes,3
128,128,Website,Move In/Out,3/24/2026 14:03,11.7,Yes,2
129,129,Mobile App,High Bill,4/22/2026 7:15,17.6,No,5
130,130,Phone,Move In/Out,11/22/2025 14:45,10.9,No,1
131,131,Phone,High Bill,4/22/2026 20:27,11.5,Yes,1
132,132,Phone,High Bill,6/23/2026 7:44,20.8,No,3
133,133,Mobile App,Move In/Out,11/7/2025 17:28,13.7,No,3
134,134,Phone,Move In/Out,3/4/2026 6:43,16.8,Yes,5
135,135,Mobile App,High Bill,3/27/2026 14:18,5,No,3
136,136,Mobile App,Water Leak,9/30/2025 0:40,10.6,No,5
137,137,Website,Water Leak,12/2/2025 14:27,21.2,No,1
138,138,Website,High Bill,5/24/2026 23:28,15.2,No,3
139,139,Website,High Bill,3/16/2026 4:54,13.2,No,4
140,140,Phone,Power Outage,7/20/2026 23:16,14.4,No,3
141,141,Website,Move In/Out,2/16/2026 7:14,14.2,No,4
142,142,Phone,High Bill,7/21/2026 21:32,22.9,No,4
143,143,Website,Move In/Out,6/28/2026 17:12,20.2,No,4
144,144,Website,Move In/Out,8/18/2026 7:40,22.6,Yes,3
145,145,Website,Move In/Out,10/24/2025 3:55,20.7,No,3
146,146,Phone,Water Leak,10/14/2025 6:46,2.4,Yes,3
147,147,Website,Power Outage,10/7/2025 4:31,1.1,Yes,2
148,148,Mobile App,Power Outage,3/25/2026 6:53,2.9,Yes,2
149,149,Phone,Water Leak,8/24/2026 10:46,4.6,No,1
150,150,Phone,Power Outage,5/4/2026 2:18,1.4,Yes,1
151,151,Phone,Power Outage,8/16/2026 20:49,5.7,No,3
152,152,Website,Move In/Out,10/20/2025 3:28,13.6,Yes,4
153,153,Phone,Water Leak,12/28/2025 9:06,11.3,No,4
154,154,Mobile App,Water Leak,8/30/2026 19:17,14,Yes,2
155,155,Phone,Power Outage,8/16/2026 10:34,18.4,Yes,4
156,156,Website,Power Outage,12/4/2025 12:10,15.1,No,5
157,157,Website,Power Outage,2/15/2026 23:02,7.2,Yes,5
158,158,Mobile App,High Bill,8/20/2026 4:16,19.8,No,3
159,159,Phone,Water Leak,5/29/2026 6:59,16.3,Yes,1
160,160,Mobile App,Power Outage,1/28/2026 7:25,8.6,No,3
161,161,Phone,Move In/Out,1/31/2026 4:02,1.5,Yes,4
162,162,Mobile App,Move In/Out,3/3/2026 8:27,23.3,Yes,1
163,163,Mobile App,High Bill,10/14/2025 17:07,13.7,No,2
164,164,Mobile App,High Bill,4/4/2026 20:51,19.1,No,3
165,165,Mobile App,High Bill,11/15/2025 3:35,21.2,Yes,2
166,166,Phone,Move In/Out,12/30/2025 0:06,0.3,Yes,3
167,167,Website,Move In/Out,11/16/2025 17:53,2,No,5
168,168,Website,Power Outage,1/26/2026 9:31,1.9,No,1
169,169,Phone,High Bill,12/1/2025 1:57,8.4,Yes,5
170,170,Phone,High Bill,5/22/2026 17:35,2.7,Yes,5
171,171,Phone,Water Leak,12/29/2025 11:48,8.3,Yes,4
172,172,Mobile App,Power Outage,11/9/2025 14:16,11.8,Yes,1
173,173,Mobile App,Move In/Out,10/29/2025 16:38,19.9,Yes,3
174,174,Mobile App,Power Outage,9/22/2025 19:33,12.5,Yes,1
175,175,Website,Power Outage,4/6/2026 3:34,12.9,No,4
176,176,Phone,Power Outage,3/6/2026 6:56,11.1,No,2
177,177,Phone,High Bill,4/14/2026 2:39,14.2,No,3
178,178,Website,Move In/Out,4/16/2026 2:04,5.7,No,5
179,179,Website,Move In/Out,2/11/2026 11:13,9.9,No,1
180,180,Mobile App,Power Outage,8/20/2026 22:30,5.4,No,5
181,181,Mobile App,Move In/Out,5/30/2026 16:36,11.6,Yes,3
182,182,Mobile App,Water Leak,10/20/2025 5:05,19.3,Yes,5
183,183,Website,Power Outage,11/18/2025 23:21,11.3,Yes,2
184,184,Mobile App,High Bill,3/2/2026 14:41,16.1,Yes,5
185,185,Website,Move In/Out,7/15/2026 15:21,20.4,No,3
186,186,Website,Move In/Out,6/4/2026 6:13,2.4,No,2
187,187,Mobile App,Move In/Out,11/29/2025 4:45,20.4,No,2
188,188,Phone,High Bill,5/15/2026 13:07,10.5,No,2
189,189,Phone,Power Outage,12/19/2025 9:53,9.9,Yes,1
190,190,Phone,High Bill,2/22/2026 18:48,22.2,Yes,2
191,191,Phone,High Bill,8/23/2026 21:20,10.8,Yes,5
192,192,Mobile App,High Bill,11/4/2025 18:33,4.7,Yes,5
193,193,Phone,Water Leak,8/12/2026 15:51,7.9,Yes,5
194,194,Website,Move In/Out,1/31/2026 11:37,21.4,No,5
195,195,Phone,Move In/Out,4/7/2026 16:49,18.4,No,4
196,196,Mobile App,Move In/Out,9/29/2025 17:41,17.2,No,3
197,197,Website,Move In/Out,3/13/2026 20:43,13.6,No,1
198,198,Website,High Bill,12/26/2025 12:43,12.3,Yes,4
199,199,Mobile App,Power Outage,6/6/2026 22:36,17.9,Yes,3
200,200,Mobile App,Move In/Out,4/20/2026 19:35,16.1,No,3
201,201,Phone,Power Outage,2/22/2026 15:52,17.1,No,5
202,202,Website,Water Leak,12/31/2025 20:14,13.1,Yes,4
203,203,Mobile App,Power Outage,11/16/2025 11:56,13.9,No,5
204,204,Website,Power Outage,4/25/2026 0:46,3.1,Yes,1
205,205,Mobile App,Move In/Out,6/17/2026 2:48,3,No,4
206,206,Phone,Water Leak,10/27/2025 12:05,13.3,No,4
207,207,Phone,High Bill,4/18/2026 3:51,15.1,No,2
208,208,Mobile App,High Bill,2/1/2026 18:17,15.9,No,1
209,209,Phone,Water Leak,5/11/2026 16:14,16.1,No,4
210,210,Phone,Power Outage,12/8/2025 17:44,11.9,Yes,4
211,211,Mobile App,Power Outage,5/16/2026 6:38,4.7,Yes,4
212,212,Phone,Water Leak,11/29/2025 11:45,1.6,Yes,3
213,213,Phone,High Bill,3/27/2026 11:50,19.6,No,1
214,214,Website,Move In/Out,4/14/2026 22:35,14,Yes,2
215,215,Phone,Power Outage,10/17/2025 21:19,14.4,Yes,2
216,216,Website,Power Outage,7/25/2026 5:09,23.5,No,5
217,217,Website,Water Leak,9/3/2026 7:55,0.3,No,5
218,218,Phone,Move In/Out,5/28/2026 10:04,16.6,Yes,5
219,219,Mobile App,High Bill,12/6/2025 8:59,2.6,No,1
220,220,Phone,Power Outage,4/8/2026 10:32,15.3,Yes,4
221,221,Mobile App,High Bill,7/3/2026 4:16,0.8,Yes,2
222,222,Mobile App,Power Outage,11/23/2025 23:06,4.4,No,3
223,223,Phone,Power Outage,7/25/2026 23:33,10.6,No,4
224,224,Phone,Water Leak,9/3/2026 5:33,7.6,Yes,1
225,225,Website,Move In/Out,11/20/2025 3:12,23.3,No,2
226,226,Website,Water Leak,10/4/2025 6:06,0.8,No,3
227,227,Mobile App,Water Leak,12/10/2025 0:15,0.9,Yes,4
228,228,Phone,High Bill,2/16/2026 12:12,13.3,Yes,4
229,229,Website,Move In/Out,2/24/2026 20:05,14.8,No,3
230,230,Website,Move In/Out,4/25/2026 4:46,11.3,No,5
231,231,Mobile App,Move In/Out,10/26/2025 19:10,8.5,No,1
232,232,Phone,Power Outage,6/3/2026 6:47,8.1,No,1
233,233,Mobile App,Power Outage,11/5/2025 21:47,3,No,5
234,234,Mobile App,Power Outage,10/18/2025 2:19,15.1,Yes,2
235,235,Phone,Water Leak,5/10/2026 19:22,9.2,No,1
236,236,Phone,Move In/Out,4/30/2026 6:42,19.3,No,2
237,237,Mobile App,Water Leak,6/22/2026 9:13,11.5,No,3
238,238,Website,Move In/Out,11/4/2025 16:28,14.3,No,4
239,239,Phone,Move In/Out,9/25/2025 5:55,4.6,No,2
240,240,Website,High Bill,6/15/2026 19:10,13.1,No,4
241,241,Website,Water Leak,3/31/2026 1:12,18.2,No,1
242,242,Website,Power Outage,11/14/2025 2:07,3.6,Yes,1
243,243,Website,Water Leak,4/14/2026 15:51,15.6,Yes,4
244,244,Mobile App,Move In/Out,3/28/2026 22:52,11.2,No,1
245,245,Mobile App,Move In/Out,2/28/2026 18:30,21.6,Yes,5
246,246,Phone,Power Outage,3/29/2026 5:20,0.1,Yes,2
247,247,Mobile App,High Bill,10/28/2025 14:17,22.3,Yes,5
248,248,Website,Water Leak,8/11/2026 18:54,23.4,Yes,3
249,249,Phone,Power Outage,1/3/2026 5:37,16.2,No,3
250,250,Website,Water Leak,10/17/2025 13:56,14.5,No,1
251,251,Phone,High Bill,10/5/2025 4:03,3.7,Yes,4
252,252,Phone,Power Outage,6/14/2026 16:29,2.6,Yes,3
253,253,Website,Power Outage,6/8/2026 1:29,4.1,Yes,1
254,254,Website,Move In/Out,7/4/2026 1:41,0.8,No,4
255,255,Website,Water Leak,5/27/2026 23:36,21.3,No,3
256,256,Website,Water Leak,12/18/2025 3:47,8.7,Yes,2
257,257,Mobile App,Power Outage,5/26/2026 20:45,10.9,Yes,2
258,258,Phone,Move In/Out,12/5/2025 17:31,22.6,No,5
259,259,Phone,High Bill,3/27/2026 4:41,14.5,Yes,4
260,260,Phone,High Bill,6/29/2026 12:17,12.4,Yes,3
261,261,Phone,Power Outage,8/8/2026 17:10,16.8,Yes,4
262,262,Phone,Water Leak,4/19/2026 4:17,18.3,No,4
263,263,Phone,High Bill,3/25/2026 1:47,3.2,No,1
264,264,Phone,Power Outage,1/8/2026 10:43,11.3,No,2
265,265,Website,Water Leak,5/29/2026 21:20,16.3,No,2
266,266,Mobile App,Water Leak,9/19/2026 19:05,2.7,Yes,2
267,267,Mobile App,Power Outage,5/23/2026 23:34,18.2,No,5
268,268,Mobile App,Power Outage,5/8/2026 17:19,20.9,No,3
269,269,Phone,High Bill,6/10/2026 5:39,9.1,No,4
270,270,Mobile App,Water Leak,3/20/2026 1:50,3.3,No,3
271,271,Phone,Water Leak,5/15/2026 16:44,13.8,Yes,4
272,272,Mobile App,Power Outage,6/3/2026 12:13,19.1,Yes,4
273,273,Website,Move In/Out,6/18/2026 21:38,24,No,2
274,274,Phone,Move In/Out,8/29/2026 8:25,11.1,No,5
275,275,Mobile App,Water Leak,1/12/2026 23:20,13,Yes,3
276,276,Mobile App,High Bill,3/3/2026 13:06,17.9,Yes,3
277,277,Website,Move In/Out,2/12/2026 2:10,9.7,No,5
278,278,Website,Power Outage,5/24/2026 8:28,16.2,Yes,1
279,279,Phone,Move In/Out,9/3/2026 0:30,9.3,Yes,2
280,280,Mobile App,Move In/Out,11/29/2025 9:51,19,Yes,2
281,281,Website,Power Outage,12/12/2025 19:37,20.2,No,2
282,282,Website,High Bill,6/23/2026 5:25,21,Yes,5
283,283,Website,High Bill,3/12/2026 5:46,6.8,No,2
284,284,Website,High Bill,8/8/2026 11:52,10.1,No,3
285,285,Mobile App,Power Outage,6/14/2026 20:55,5.3,Yes,5
286,286,Website,Move In/Out,10/3/2025 20:36,8.9,No,4
287,287,Website,Water Leak,6/10/2026 17:45,4.1,No,2
288,288,Website,High Bill,6/17/2026 10:34,11.2,Yes,1
289,289,Phone,Power Outage,2/16/2026 4:54,15.7,Yes,2
290,290,Phone,Power Outage,12/8/2025 5:53,8.1,Yes,5
291,291,Mobile App,High Bill,11/4/2025 13:48,12.6,No,2
292,292,Phone,Water Leak,10/15/2025 1:38,12,Yes,3
293,293,Mobile App,High Bill,1/1/2026 18:08,5.3,Yes,1
294,294,Phone,Power Outage,7/5/2026 1:33,23,No,3
295,295,Phone,Power Outage,12/3/2025 9:20,0.9,No,2
296,296,Mobile App,Power Outage,12/9/2025 0:43,11.4,Yes,1
297,297,Mobile App,High Bill,7/18/2026 0:57,9.9,Yes,5
298,298,Website,Power Outage,12/19/2025 8:16,23.4,No,2
299,299,Website,Water Leak,2/14/2026 20:20,22.3,Yes,2
300,300,Website,Water Leak,11/15/2025 7:12,23.8,Yes,3
301,301,Website,Power Outage,10/3/2025 1:44,3.7,No,5
302,302,Phone,Move In/Out,1/2/2026 4:12,23.7,Yes,1
303,303,Website,Move In/Out,1/28/2026 4:45,16.6,Yes,3
304,304,Website,High Bill,7/14/2026 20:56,9.5,Yes,2
305,305,Website,Water Leak,11/19/2025 8:39,16.9,No,5
306,306,Phone,High Bill,4/30/2026 22:38,19.2,Yes,4
307,307,Website,Water Leak,5/29/2026 3:01,2.5,No,3
308,308,Phone,Power Outage,11/3/2025 10:41,4.9,Yes,1
309,309,Phone,High Bill,10/17/2025 14:25,23.4,No,4
310,310,Mobile App,Move In/Out,5/5/2026 21:21,2.2,No,1
311,311,Phone,Move In/Out,11/29/2025 13:18,15.7,No,3
312,312,Mobile App,Move In/Out,7/21/2026 21:23,6.2,Yes,2
313,313,Website,Water Leak,6/10/2026 21:46,23.2,Yes,4
314,314,Mobile App,Power Outage,7/18/2026 3:47,23.8,No,4
315,315,Phone,Move In/Out,11/5/2025 23:21,14.9,No,5
316,316,Mobile App,High Bill,8/28/2026 9:25,19.5,Yes,1
317,317,Phone,Power Outage,7/13/2026 0:01,9.3,Yes,1
318,318,Phone,High Bill,9/22/2025 11:49,17.8,Yes,3
319,319,Phone,High Bill,1/2/2026 18:26,7.8,Yes,5
320,320,Mobile App,Water Leak,3/27/2026 1:27,0.1,No,4
321,321,Website,Water Leak,9/2/2026 2:43,21.7,Yes,5
322,322,Website,High Bill,6/27/2026 9:31,14.7,Yes,2
323,323,Mobile App,Water Leak,2/27/2026 22:28,4.3,Yes,2
324,324,Website,High Bill,9/23/2025 2:04,24,Yes,3
325,325,Website,Water Leak,11/11/2025 10:34,10.4,No,4
326,326,Website,Water Leak,7/28/2026 6:37,22.6,No,4
327,327,Website,Water Leak,4/4/2026 4:19,7,Yes,4
328,328,Mobile App,High Bill,9/2/2026 3:40,4.4,Yes,2
329,329,Website,Power Outage,10/11/2025 18:04,19.2,No,1
330,330,Phone,Power Outage,7/6/2026 3:14,1.1,No,3
331,331,Mobile App,Water Leak,7/29/2026 7:14,19.1,No,5
332,332,Mobile App,Move In/Out,8/7/2026 10:09,19.4,No,1
333,333,Mobile App,High Bill,8/19/2026 21:58,0.9,No,2
334,334,Mobile App,Water Leak,5/27/2026 5:18,14.2,Yes,1
335,335,Mobile App,High Bill,4/21/2026 12:48,20.5,No,3
336,336,Website,Move In/Out,12/13/2025 0:31,13.3,Yes,1
337,337,Website,Water Leak,4/24/2026 12:00,5.4,No,2
338,338,Phone,Move In/Out,1/18/2026 1:00,3,No,4
339,339,Website,Water Leak,8/9/2026 4:25,7.9,No,3
340,340,Mobile App,Power Outage,10/12/2025 23:44,20.9,Yes,2
341,341,Phone,Power Outage,6/23/2026 3:21,6.9,No,5
342,342,Website,Water Leak,3/18/2026 4:20,21,No,3
343,343,Mobile App,Water Leak,8/20/2026 22:12,1.9,Yes,5
344,344,Phone,Water Leak,12/14/2025 14:57,13.5,No,2
345,345,Mobile App,High Bill,5/28/2026 2:57,14.8,Yes,4
346,346,Website,Water Leak,5/25/2026 4:11,10.5,No,1
347,347,Website,Move In/Out,2/11/2026 2:40,16.1,No,3
348,348,Mobile App,High Bill,2/12/2026 6:52,17.1,No,4
349,349,Phone,High Bill,1/11/2026 1:15,12.5,Yes,5
350,350,Website,High Bill,9/16/2026 4:47,1.5,No,1
351,351,Phone,Power Outage,3/10/2026 8:52,19.6,No,5
352,352,Mobile App,High Bill,3/2/2026 17:03,23.5,Yes,1
353,353,Website,High Bill,1/11/2026 11:55,6.7,No,4
354,354,Phone,High Bill,8/25/2026 0:08,19.3,Yes,1
355,355,Mobile App,Power Outage,10/19/2025 1:08,16.1,No,3
356,356,Phone,Power Outage,12/28/2025 3:01,6,No,4
357,357,Mobile App,Power Outage,6/5/2026 14:20,10.3,No,2
358,358,Website,Move In/Out,11/6/2025 7:49,9,No,1
359,359,Website,Power Outage,9/17/2026 19:32,6.2,No,5
360,360,Mobile App,Water Leak,2/28/2026 20:51,9.1,Yes,3
361,361,Mobile App,Power Outage,8/27/2026 23:18,13.8,Yes,1
362,362,Mobile App,High Bill,10/21/2025 17:06,8.6,Yes,4
363,363,Mobile App,Move In/Out,12/13/2025 1:42,19.6,Yes,1
364,364,Website,High Bill,5/14/2026 16:17,22.5,Yes,1
365,365,Phone,Water Leak,8/16/2026 0:47,0.4,No,5
366,366,Phone,Move In/Out,1/8/2026 23:07,0.5,Yes,3
367,367,Mobile App,Power Outage,10/4/2025 17:16,18.7,No,2
368,368,Website,Power Outage,7/24/2026 0:59,4.8,Yes,2
369,369,Website,Power Outage,9/7/2026 5:31,8,No,5
370,370,Website,High Bill,7/27/2026 16:14,2.4,No,1
371,371,Website,High Bill,8/27/2026 6:23,22.6,Yes,5
372,372,Phone,Power Outage,2/16/2026 12:55,19.9,No,3
373,373,Mobile App,Move In/Out,4/27/2026 8:36,18.1,Yes,1
374,374,Mobile App,Move In/Out,12/1/2025 16:48,9.9,No,5
375,375,Website,High Bill,10/7/2025 16:29,1,No,1
376,376,Website,High Bill,1/10/2026 23:52,1.5,No,5
377,377,Phone,Power Outage,7/30/2026 23:35,17,Yes,2
378,378,Mobile App,High Bill,2/2/2026 17:27,20,Yes,1
379,379,Phone,Power Outage,11/23/2025 7:36,13.6,No,4
380,380,Website,High Bill,7/15/2026 7:37,2.6,No,2
381,381,Website,Power Outage,3/18/2026 5:47,9.6,Yes,1
382,382,Phone,Move In/Out,10/16/2025 5:09,23.6,No,2
383,383,Phone,Power Outage,5/14/2026 10:18,13,Yes,1
384,384,Phone,High Bill,3/9/2026 4:03,22.4,Yes,1
385,385,Website,Water Leak,1/25/2026 3:38,23.9,No,4
386,386,Website,High Bill,6/10/2026 14:44,13.3,No,5
387,387,Mobile App,Power Outage,10/25/2025 3:21,3.5,Yes,5
388,388,Website,Water Leak,9/22/2025 22:45,16.4,Yes,4
389,389,Mobile App,Power Outage,4/16/2026 5:07,1.8,No,4
390,390,Mobile App,Move In/Out,9/28/2025 2:23,11,No,4
391,391,Phone,Move In/Out,1/24/2026 3:52,15.6,No,1
392,392,Website,High Bill,1/1/2026 13:17,9.3,No,3
393,393,Website,Power Outage,2/5/2026 11:47,20.7,No,1
394,394,Mobile App,Water Leak,12/17/2025 9:58,9.3,Yes,5
395,395,Website,Move In/Out,12/26/2025 10:38,11.2,Yes,3
396,396,Website,High Bill,12/9/2025 15:24,15.7,Yes,1
397,397,Phone,Power Outage,3/15/2026 14:27,8.6,No,1
398,398,Website,Move In/Out,8/25/2026 0:42,2.3,Yes,4
399,399,Mobile App,Power Outage,7/1/2026 22:15,18.4,Yes,2
400,400,Website,Water Leak,9/7/2026 19:49,4.1,Yes,1
401,401,Mobile App,Water Leak,1/10/2026 13:27,18.2,No,5
402,402,Phone,Power Outage,4/30/2026 15:01,11.2,No,2
403,403,Website,Move In/Out,10/9/2025 3:49,4.6,Yes,3
404,404,Website,Power Outage,1/18/2026 6:22,14.4,No,1
405,405,Website,High Bill,12/24/2025 1:19,20.3,No,5
406,406,Phone,Water Leak,5/9/2026 8:41,15,No,3
407,407,Website,Move In/Out,8/26/2026 16:05,13.8,Yes,5
