incident_id,service_type,address,city,start_time,restoration_time,outage_duration_minutes,customers_affected,cause,weather_condition,crew_dispatched
22,Electric Grid,North Bay Boulevard,Navotas City,1/20/2022 12:10,8/2/2026 2:53,1411,5334,Equipment Age,High Wind,Yes
23,Electric Grid,Ermita District,City of Manila,3/16/2024 11:24,1/31/2022 20:17,768,2637,Pipe Burst,Heavy Rain,No
24,Water Pipeline,North Bay Boulevard,Navotas City,12/27/2025 11:13,11/18/2026 9:53,712,4103,Fallen Tree Branch,Heatwave,Yes
25,Water Pipeline,North Bay Boulevard,Navotas City,8/7/2023 1:46,4/21/2025 0:36,1169,6527,Equipment Age,Clear,No
26,Electric Grid,North Bay Boulevard,Navotas City,12/21/2025 13:27,11/10/2025 10:30,1167,9554,Fallen Tree Branch,High Wind,No
27,Electric Grid,Ermita District,City of Manila,3/25/2022 4:12,9/8/2024 7:02,477,6244,Lightning,Clear,Yes
28,Electric Grid,North Bay Boulevard,Navotas City,4/6/2026 10:55,1/4/2026 7:23,216,4552,Fallen Tree Branch,Heavy Rain,Yes
29,Electric Grid,Ermita District,City of Manila,7/17/2026 18:01,4/27/2022 7:36,849,5395,Pipe Burst,Heatwave,No
30,Water Pipeline,North Bay Boulevard,Navotas City,1/28/2025 7:41,6/21/2023 3:15,403,2181,Fallen Tree Branch,Heavy Rain,Yes
31,Electric Grid,Ermita District,City of Manila,10/16/2025 9:22,11/16/2025 16:06,425,3153,Equipment Age,High Wind,Yes
32,Electric Grid,Ermita District,City of Manila,11/21/2024 1:16,6/30/2024 19:29,688,5295,Lightning,Heatwave,No
33,Water Pipeline,North Bay Boulevard,Navotas City,10/31/2023 1:15,9/12/2024 9:28,257,9743,Fallen Tree Branch,Heatwave,Yes
34,Water Pipeline,Ermita District,City of Manila,12/1/2023 14:51,12/24/2022 15:24,565,2283,Fallen Tree Branch,High Wind,No
35,Electric Grid,Ermita District,City of Manila,12/16/2022 6:49,9/29/2022 8:20,31,425,Lightning,Heavy Rain,Yes
36,Electric Grid,North Bay Boulevard,Navotas City,5/1/2026 6:21,7/11/2022 5:35,1178,1723,Lightning,High Wind,Yes
37,Electric Grid,North Bay Boulevard,Navotas City,5/29/2026 16:17,7/2/2025 20:13,1084,5090,Lightning,Clear,No
38,Electric Grid,Ermita District,City of Manila,2/28/2023 21:24,9/6/2024 6:46,514,3303,Equipment Age,Clear,Yes
39,Water Pipeline,North Bay Boulevard,Navotas City,12/14/2023 20:24,12/7/2022 16:12,460,6050,Pipe Burst,Heavy Rain,Yes
40,Water Pipeline,North Bay Boulevard,Navotas City,4/30/2026 4:05,5/17/2024 23:03,62,5620,Lightning,Heatwave,Yes
41,Electric Grid,North Bay Boulevard,Navotas City,5/11/2024 22:55,5/5/2026 14:46,264,3655,Pipe Burst,Heatwave,No
42,Water Pipeline,Ermita District,City of Manila,2/10/2025 15:39,3/5/2026 4:35,152,1964,Equipment Age,Heatwave,Yes
43,Electric Grid,North Bay Boulevard,Navotas City,2/10/2025 13:20,10/13/2025 22:11,1187,6836,Fallen Tree Branch,Clear,Yes
44,Electric Grid,North Bay Boulevard,Navotas City,10/13/2023 7:58,5/2/2022 10:58,472,5741,Pipe Burst,Heavy Rain,Yes
45,Water Pipeline,Ermita District,City of Manila,10/9/2022 14:49,10/28/2025 7:39,670,8038,Pipe Burst,High Wind,Yes
46,Electric Grid,Ermita District,City of Manila,7/16/2022 8:17,8/15/2024 18:30,1180,7133,Equipment Age,Heatwave,No
47,Electric Grid,North Bay Boulevard,Navotas City,10/2/2024 20:21,12/1/2024 21:27,361,522,Fallen Tree Branch,Heatwave,No
48,Water Pipeline,North Bay Boulevard,Navotas City,6/21/2026 11:22,2/10/2022 4:34,1380,4420,Pipe Burst,Heavy Rain,No
49,Water Pipeline,Ermita District,City of Manila,3/5/2026 8:40,5/13/2025 6:21,17,5775,Equipment Age,Heatwave,No
50,Water Pipeline,Ermita District,City of Manila,4/24/2026 12:28,7/27/2025 8:12,21,2805,Fallen Tree Branch,Heavy Rain,No
51,Electric Grid,North Bay Boulevard,Navotas City,8/21/2025 7:56,6/14/2025 22:56,1398,2499,Lightning,Clear,Yes
52,Water Pipeline,North Bay Boulevard,Navotas City,6/1/2026 5:55,6/8/2023 12:39,1182,4869,Pipe Burst,High Wind,Yes
53,Water Pipeline,Ermita District,City of Manila,12/23/2024 15:00,9/23/2024 15:56,641,1643,Pipe Burst,High Wind,Yes
54,Water Pipeline,North Bay Boulevard,Navotas City,6/9/2026 6:04,6/8/2026 12:55,35,8932,Equipment Age,High Wind,No
55,Water Pipeline,North Bay Boulevard,Navotas City,6/13/2026 5:28,5/6/2024 9:24,120,2027,Equipment Age,High Wind,Yes
56,Electric Grid,North Bay Boulevard,Navotas City,7/31/2024 13:54,12/28/2024 1:14,1410,6760,Lightning,High Wind,Yes
57,Water Pipeline,North Bay Boulevard,Navotas City,4/29/2022 16:37,7/12/2025 2:10,1206,2243,Pipe Burst,High Wind,Yes
58,Water Pipeline,North Bay Boulevard,Navotas City,4/5/2023 14:58,9/21/2024 19:30,1315,5609,Lightning,Heavy Rain,No
59,Electric Grid,Ermita District,City of Manila,8/6/2022 16:45,12/18/2026 8:55,364,8378,Fallen Tree Branch,Heatwave,No
60,Electric Grid,North Bay Boulevard,Navotas City,1/10/2025 13:50,1/7/2026 22:41,1167,3237,Pipe Burst,Heavy Rain,No
61,Water Pipeline,Ermita District,City of Manila,8/1/2023 5:55,4/30/2022 7:41,1167,4811,Lightning,Heatwave,Yes
62,Water Pipeline,Ermita District,City of Manila,7/22/2025 5:47,1/23/2025 10:20,741,8368,Pipe Burst,Heatwave,No
63,Water Pipeline,North Bay Boulevard,Navotas City,7/2/2022 8:15,8/18/2025 16:32,595,6108,Lightning,Heavy Rain,Yes
64,Water Pipeline,Ermita District,City of Manila,2/10/2023 20:01,2/7/2026 1:59,992,2007,Pipe Burst,Clear,No
65,Water Pipeline,North Bay Boulevard,Navotas City,6/23/2022 19:23,10/27/2024 4:02,877,1785,Equipment Age,Heatwave,Yes
66,Water Pipeline,Ermita District,City of Manila,11/6/2025 23:53,7/7/2026 14:14,1250,7381,Lightning,Heavy Rain,Yes
67,Electric Grid,Ermita District,City of Manila,6/17/2022 8:57,4/7/2026 5:59,455,5295,Lightning,Clear,No
68,Water Pipeline,Ermita District,City of Manila,4/18/2026 15:22,10/17/2022 8:47,238,439,Equipment Age,Heavy Rain,No
69,Water Pipeline,North Bay Boulevard,Navotas City,1/31/2026 9:56,11/10/2022 23:44,151,4376,Fallen Tree Branch,High Wind,Yes
70,Electric Grid,Ermita District,City of Manila,12/5/2024 2:12,3/1/2022 17:00,788,2269,Lightning,Heatwave,No
71,Water Pipeline,Ermita District,City of Manila,12/28/2022 20:42,8/28/2026 1:55,182,106,Fallen Tree Branch,High Wind,Yes
72,Electric Grid,Ermita District,City of Manila,5/25/2024 13:24,10/22/2022 5:36,983,6606,Equipment Age,Heatwave,No
73,Water Pipeline,Ermita District,City of Manila,8/9/2024 10:02,10/31/2026 4:47,74,6109,Lightning,Clear,No
74,Water Pipeline,North Bay Boulevard,Navotas City,8/2/2023 17:38,12/1/2023 23:36,45,3949,Fallen Tree Branch,Clear,Yes
75,Water Pipeline,North Bay Boulevard,Navotas City,6/27/2025 0:35,12/21/2026 0:33,1338,9250,Fallen Tree Branch,Clear,No
76,Water Pipeline,Ermita District,City of Manila,9/21/2025 9:26,11/11/2024 22:52,1158,3769,Fallen Tree Branch,High Wind,Yes
77,Electric Grid,Ermita District,City of Manila,11/30/2024 14:22,4/2/2024 5:39,360,4461,Lightning,Heavy Rain,Yes
78,Water Pipeline,Ermita District,City of Manila,12/17/2023 20:31,4/3/2026 1:20,272,8901,Equipment Age,Heatwave,No
79,Water Pipeline,Ermita District,City of Manila,2/20/2026 0:51,8/7/2025 3:54,1172,3550,Lightning,High Wind,Yes
80,Water Pipeline,Ermita District,City of Manila,5/13/2022 19:18,2/14/2026 22:38,344,1224,Equipment Age,High Wind,Yes
81,Electric Grid,North Bay Boulevard,Navotas City,8/5/2023 0:20,12/4/2025 18:01,1167,679,Fallen Tree Branch,Clear,No
82,Electric Grid,North Bay Boulevard,Navotas City,8/2/2022 9:16,2/6/2022 21:10,650,661,Lightning,Clear,Yes
83,Water Pipeline,North Bay Boulevard,Navotas City,2/6/2024 23:56,6/12/2024 4:29,893,3058,Pipe Burst,High Wind,No
84,Water Pipeline,Ermita District,City of Manila,3/6/2022 23:45,10/19/2023 14:48,268,227,Fallen Tree Branch,Clear,No
85,Electric Grid,Ermita District,City of Manila,4/16/2025 5:23,7/20/2024 14:40,281,5587,Equipment Age,High Wind,No
86,Electric Grid,Ermita District,City of Manila,1/1/2024 3:16,8/24/2022 14:53,18,8587,Lightning,Heavy Rain,Yes
87,Water Pipeline,Ermita District,City of Manila,8/18/2024 7:44,12/4/2024 15:44,238,6082,Fallen Tree Branch,Heavy Rain,Yes
88,Electric Grid,Ermita District,City of Manila,4/19/2024 9:40,12/10/2022 1:49,1054,1542,Pipe Burst,High Wind,Yes
89,Electric Grid,Ermita District,City of Manila,12/15/2022 10:19,2/14/2025 10:29,4,2964,Equipment Age,Clear,Yes
90,Electric Grid,North Bay Boulevard,Navotas City,10/14/2026 15:07,11/9/2023 6:40,855,4031,Fallen Tree Branch,Clear,Yes
91,Electric Grid,North Bay Boulevard,Navotas City,5/30/2022 11:17,12/11/2026 22:50,932,4283,Pipe Burst,High Wind,No
92,Electric Grid,Ermita District,City of Manila,11/3/2022 8:00,8/22/2025 23:17,1281,446,Fallen Tree Branch,Heatwave,Yes
93,Electric Grid,North Bay Boulevard,Navotas City,7/31/2024 6:26,10/16/2024 0:56,711,6221,Equipment Age,High Wind,Yes
94,Electric Grid,North Bay Boulevard,Navotas City,6/20/2025 5:41,4/29/2022 10:44,279,8395,Lightning,Heavy Rain,No
95,Water Pipeline,North Bay Boulevard,Navotas City,4/4/2024 17:45,9/10/2024 6:10,7,2438,Lightning,Heavy Rain,Yes
96,Water Pipeline,North Bay Boulevard,Navotas City,1/7/2022 1:09,9/29/2024 0:45,706,561,Equipment Age,Clear,Yes
97,Electric Grid,North Bay Boulevard,Navotas City,2/6/2022 11:39,12/17/2024 7:05,1205,8745,Fallen Tree Branch,Heavy Rain,No
98,Electric Grid,North Bay Boulevard,Navotas City,8/22/2022 5:18,6/10/2025 12:18,202,2580,Equipment Age,Heavy Rain,No
99,Water Pipeline,Ermita District,City of Manila,7/22/2023 14:21,12/1/2026 9:20,1438,2679,Lightning,Clear,Yes
100,Water Pipeline,North Bay Boulevard,Navotas City,8/5/2024 21:44,4/27/2025 11:18,404,8896,Equipment Age,Clear,Yes
101,Electric Grid,Ermita District,City of Manila,4/27/2024 15:41,5/21/2025 5:56,91,9518,Equipment Age,Clear,Yes
102,Electric Grid,Ermita District,City of Manila,11/10/2026 21:01,7/1/2026 2:31,385,4152,Fallen Tree Branch,High Wind,Yes
103,Water Pipeline,North Bay Boulevard,Navotas City,5/7/2023 11:46,9/1/2023 18:37,1380,6093,Pipe Burst,High Wind,No
104,Water Pipeline,North Bay Boulevard,Navotas City,1/15/2023 9:07,11/8/2022 22:25,1061,2414,Fallen Tree Branch,Clear,No
105,Water Pipeline,Ermita District,City of Manila,4/2/2024 15:33,6/9/2026 9:18,83,3037,Equipment Age,Clear,Yes
106,Water Pipeline,Ermita District,City of Manila,3/16/2024 9:04,2/24/2023 13:16,745,2103,Fallen Tree Branch,High Wind,Yes
107,Water Pipeline,North Bay Boulevard,Navotas City,11/24/2024 12:53,5/30/2023 10:04,1283,7692,Lightning,High Wind,Yes
108,Water Pipeline,North Bay Boulevard,Navotas City,10/21/2024 22:53,6/18/2022 15:41,1403,418,Fallen Tree Branch,High Wind,Yes
109,Water Pipeline,Ermita District,City of Manila,11/25/2025 12:43,2/23/2024 21:06,730,2017,Equipment Age,High Wind,Yes
110,Water Pipeline,North Bay Boulevard,Navotas City,1/20/2025 22:19,9/11/2024 21:10,893,9905,Fallen Tree Branch,Heavy Rain,No
111,Electric Grid,Ermita District,City of Manila,12/17/2022 22:49,2/20/2023 19:13,1286,8148,Lightning,High Wind,No
112,Electric Grid,North Bay Boulevard,Navotas City,12/18/2024 21:09,8/21/2023 2:36,51,3959,Equipment Age,Clear,No
113,Water Pipeline,North Bay Boulevard,Navotas City,8/5/2023 2:52,11/8/2022 16:43,432,3848,Lightning,Clear,No
114,Electric Grid,Ermita District,City of Manila,3/31/2025 22:37,5/31/2023 19:27,342,1250,Pipe Burst,Heavy Rain,Yes
115,Water Pipeline,Ermita District,City of Manila,1/13/2024 5:43,9/26/2026 8:12,233,1133,Lightning,Heatwave,Yes
116,Electric Grid,Ermita District,City of Manila,4/10/2023 22:55,8/14/2025 0:55,929,2046,Fallen Tree Branch,Clear,Yes
117,Water Pipeline,North Bay Boulevard,Navotas City,2/23/2023 18:34,9/14/2025 16:10,1008,1282,Pipe Burst,Clear,No
118,Water Pipeline,Ermita District,City of Manila,3/5/2023 12:46,8/6/2022 22:10,1254,6148,Fallen Tree Branch,Heatwave,No
119,Water Pipeline,Ermita District,City of Manila,6/29/2026 8:59,5/7/2026 6:42,679,4686,Equipment Age,Heatwave,Yes
120,Electric Grid,North Bay Boulevard,Navotas City,6/1/2023 1:43,12/11/2026 8:10,1095,3773,Pipe Burst,Heatwave,No
121,Water Pipeline,North Bay Boulevard,Navotas City,2/18/2023 0:56,10/9/2023 20:04,1281,9382,Equipment Age,Heavy Rain,Yes
122,Water Pipeline,North Bay Boulevard,Navotas City,1/26/2022 2:19,6/26/2024 1:05,743,1432,Fallen Tree Branch,Heatwave,No
123,Water Pipeline,Ermita District,City of Manila,6/29/2022 22:43,1/16/2025 0:44,1021,310,Pipe Burst,High Wind,Yes
124,Electric Grid,North Bay Boulevard,Navotas City,7/2/2025 20:13,8/12/2024 21:44,516,2733,Lightning,Heatwave,No
125,Water Pipeline,Ermita District,City of Manila,7/8/2024 3:30,1/16/2026 1:41,243,8839,Fallen Tree Branch,Heatwave,Yes
126,Water Pipeline,Ermita District,City of Manila,12/14/2025 11:44,5/12/2026 6:14,279,2770,Lightning,Heavy Rain,No
127,Water Pipeline,Ermita District,City of Manila,6/3/2022 21:55,2/5/2026 8:40,1,5696,Lightning,Heavy Rain,No
128,Water Pipeline,North Bay Boulevard,Navotas City,5/21/2026 14:33,9/17/2025 21:07,272,7151,Fallen Tree Branch,Heatwave,No
129,Water Pipeline,Ermita District,City of Manila,12/14/2023 20:49,5/8/2024 2:26,659,1948,Lightning,High Wind,Yes
130,Water Pipeline,Ermita District,City of Manila,12/16/2024 23:11,3/24/2024 7:56,27,2001,Fallen Tree Branch,High Wind,No
131,Water Pipeline,North Bay Boulevard,Navotas City,2/25/2023 21:59,10/17/2022 14:34,900,596,Fallen Tree Branch,Heavy Rain,Yes
132,Water Pipeline,North Bay Boulevard,Navotas City,5/16/2023 8:04,9/20/2024 21:25,1218,9004,Fallen Tree Branch,Heavy Rain,No
133,Electric Grid,North Bay Boulevard,Navotas City,3/30/2023 16:49,12/14/2025 1:05,362,443,Lightning,Clear,No
134,Electric Grid,Ermita District,City of Manila,1/23/2023 13:22,7/12/2022 22:29,1427,666,Fallen Tree Branch,Heatwave,Yes
135,Water Pipeline,North Bay Boulevard,Navotas City,1/15/2022 9:52,3/7/2023 3:38,173,2744,Equipment Age,High Wind,No
136,Electric Grid,Ermita District,City of Manila,11/18/2023 20:02,6/11/2022 7:42,1181,8340,Lightning,High Wind,No
137,Electric Grid,Ermita District,City of Manila,3/1/2024 22:38,11/2/2023 11:35,556,2883,Pipe Burst,Clear,No
138,Electric Grid,Ermita District,City of Manila,5/9/2026 4:47,1/7/2025 4:25,209,8355,Equipment Age,Heavy Rain,No
139,Water Pipeline,North Bay Boulevard,Navotas City,6/26/2022 21:40,8/6/2023 19:55,727,2297,Equipment Age,Heatwave,No
140,Water Pipeline,Ermita District,City of Manila,12/24/2025 21:37,6/22/2025 0:52,213,2352,Equipment Age,High Wind,Yes
141,Electric Grid,Ermita District,City of Manila,7/1/2025 19:16,8/22/2022 17:48,1149,9322,Equipment Age,Heavy Rain,Yes
142,Water Pipeline,Ermita District,City of Manila,12/22/2024 8:05,10/10/2022 18:18,1144,136,Fallen Tree Branch,Heatwave,No
143,Water Pipeline,Ermita District,City of Manila,2/13/2024 20:42,5/9/2024 22:55,195,5353,Lightning,Heavy Rain,Yes
144,Electric Grid,Ermita District,City of Manila,12/9/2025 10:50,3/28/2026 11:36,1405,4413,Fallen Tree Branch,High Wind,Yes
145,Water Pipeline,North Bay Boulevard,Navotas City,1/1/2023 11:27,4/20/2022 5:26,731,5909,Fallen Tree Branch,Clear,No
146,Water Pipeline,Ermita District,City of Manila,9/22/2024 0:19,2/1/2024 11:36,877,7731,Fallen Tree Branch,Heavy Rain,No
147,Electric Grid,Ermita District,City of Manila,12/25/2026 22:22,4/28/2024 13:32,1167,8337,Fallen Tree Branch,Heavy Rain,No
148,Water Pipeline,Ermita District,City of Manila,12/25/2022 2:42,8/31/2026 15:22,1209,3278,Lightning,Heavy Rain,No
149,Water Pipeline,Ermita District,City of Manila,12/10/2026 7:34,4/1/2025 18:38,1372,8918,Pipe Burst,Heatwave,No
150,Electric Grid,North Bay Boulevard,Navotas City,1/8/2022 7:27,2/18/2023 9:34,409,214,Pipe Burst,Heavy Rain,No
151,Water Pipeline,North Bay Boulevard,Navotas City,7/4/2025 16:06,4/2/2023 16:44,320,8337,Equipment Age,Clear,Yes
152,Electric Grid,Ermita District,City of Manila,1/24/2022 21:34,3/20/2023 20:47,243,621,Fallen Tree Branch,High Wind,No
153,Water Pipeline,Ermita District,City of Manila,8/8/2022 0:14,4/12/2023 17:02,975,133,Fallen Tree Branch,Clear,Yes
154,Electric Grid,Ermita District,City of Manila,9/17/2026 11:10,9/4/2026 10:34,1367,7803,Lightning,Heatwave,Yes
155,Electric Grid,North Bay Boulevard,Navotas City,9/6/2022 6:43,7/25/2026 8:11,581,8913,Fallen Tree Branch,High Wind,Yes
156,Water Pipeline,North Bay Boulevard,Navotas City,3/21/2026 0:54,11/30/2026 7:11,1175,3483,Lightning,Clear,No
157,Electric Grid,North Bay Boulevard,Navotas City,2/6/2026 21:02,5/1/2026 14:17,1201,8304,Lightning,Clear,Yes
158,Electric Grid,Ermita District,City of Manila,1/28/2022 0:07,5/21/2022 7:03,980,600,Fallen Tree Branch,Heatwave,No
159,Electric Grid,North Bay Boulevard,Navotas City,11/20/2026 15:22,11/23/2024 13:29,1045,1518,Pipe Burst,Clear,No
160,Electric Grid,North Bay Boulevard,Navotas City,7/3/2023 3:41,10/5/2022 3:54,1316,3556,Equipment Age,Clear,Yes
161,Water Pipeline,North Bay Boulevard,Navotas City,1/2/2023 1:00,1/2/2025 11:31,1255,6549,Lightning,Heatwave,No
162,Electric Grid,North Bay Boulevard,Navotas City,3/1/2023 7:52,7/14/2022 9:10,131,5098,Fallen Tree Branch,Heavy Rain,Yes
163,Water Pipeline,Ermita District,City of Manila,1/19/2026 4:37,7/16/2022 0:19,236,9742,Pipe Burst,High Wind,Yes
164,Water Pipeline,Ermita District,City of Manila,10/25/2026 17:22,4/25/2022 11:29,68,7536,Pipe Burst,High Wind,Yes
165,Water Pipeline,North Bay Boulevard,Navotas City,11/20/2026 1:44,3/10/2026 14:01,512,2226,Fallen Tree Branch,Heatwave,No
166,Electric Grid,Ermita District,City of Manila,11/11/2025 19:29,3/30/2026 3:27,1279,3681,Fallen Tree Branch,Clear,No
167,Water Pipeline,Ermita District,City of Manila,5/11/2025 7:30,8/25/2026 3:56,1204,393,Equipment Age,Clear,No
168,Water Pipeline,North Bay Boulevard,Navotas City,6/2/2022 23:53,12/14/2026 5:19,1251,2254,Lightning,Heatwave,Yes
169,Electric Grid,Ermita District,City of Manila,3/25/2023 17:31,8/21/2025 4:58,1131,1068,Lightning,High Wind,No
170,Electric Grid,Ermita District,City of Manila,1/4/2023 13:59,6/6/2025 21:58,755,966,Equipment Age,Heavy Rain,Yes
171,Water Pipeline,Ermita District,City of Manila,8/2/2026 3:39,2/14/2025 9:03,619,5055,Lightning,Heatwave,No
172,Electric Grid,Ermita District,City of Manila,6/5/2025 9:02,10/6/2024 5:14,432,4618,Equipment Age,Heatwave,Yes
173,Electric Grid,North Bay Boulevard,Navotas City,4/15/2023 19:48,2/4/2024 13:12,711,9862,Fallen Tree Branch,Clear,No
174,Electric Grid,Ermita District,City of Manila,4/30/2023 18:16,6/17/2023 20:23,1294,3270,Lightning,Heatwave,No
175,Electric Grid,North Bay Boulevard,Navotas City,6/18/2022 21:13,4/24/2025 17:41,1062,9482,Equipment Age,Heatwave,Yes
176,Electric Grid,Ermita District,City of Manila,11/20/2022 21:08,12/17/2025 19:56,1400,5253,Pipe Burst,Clear,Yes
177,Electric Grid,North Bay Boulevard,Navotas City,9/5/2024 15:06,8/24/2025 1:11,345,8972,Pipe Burst,Heatwave,No
178,Water Pipeline,Ermita District,City of Manila,5/13/2026 23:28,7/16/2022 19:16,20,890,Fallen Tree Branch,Heavy Rain,No
179,Electric Grid,North Bay Boulevard,Navotas City,3/17/2023 13:05,8/25/2023 6:46,1131,6644,Pipe Burst,Heavy Rain,Yes
180,Water Pipeline,North Bay Boulevard,Navotas City,4/6/2025 15:59,11/3/2024 11:27,1287,1353,Equipment Age,Clear,No
181,Water Pipeline,Ermita District,City of Manila,1/8/2026 5:48,7/26/2026 21:08,1004,4865,Pipe Burst,Heavy Rain,Yes
182,Water Pipeline,Ermita District,City of Manila,1/11/2022 17:07,2/21/2022 13:45,465,5248,Lightning,High Wind,Yes
183,Water Pipeline,Ermita District,City of Manila,5/19/2025 12:44,4/7/2023 1:49,352,6690,Equipment Age,Clear,No
184,Electric Grid,North Bay Boulevard,Navotas City,12/15/2026 18:22,6/20/2022 11:02,315,8842,Equipment Age,Clear,Yes
185,Electric Grid,North Bay Boulevard,Navotas City,6/23/2026 2:51,12/21/2026 11:06,544,8517,Pipe Burst,Heatwave,No
186,Water Pipeline,Ermita District,City of Manila,11/25/2026 5:29,8/14/2022 16:04,815,5392,Fallen Tree Branch,High Wind,No
187,Water Pipeline,Ermita District,City of Manila,12/20/2026 5:54,7/9/2022 21:10,1020,7903,Equipment Age,Heatwave,No
188,Electric Grid,North Bay Boulevard,Navotas City,4/29/2026 20:39,9/16/2023 3:05,588,9390,Pipe Burst,Heatwave,Yes
189,Electric Grid,Ermita District,City of Manila,7/16/2024 17:12,10/24/2025 7:03,1133,5088,Fallen Tree Branch,Clear,No
190,Electric Grid,North Bay Boulevard,Navotas City,5/3/2024 6:24,4/6/2022 0:39,1416,8241,Lightning,Heatwave,No
191,Electric Grid,North Bay Boulevard,Navotas City,4/25/2024 5:52,11/3/2026 13:06,226,8152,Pipe Burst,Heavy Rain,No
192,Water Pipeline,North Bay Boulevard,Navotas City,1/18/2026 21:04,5/6/2025 18:30,669,7248,Fallen Tree Branch,High Wind,Yes
193,Water Pipeline,Ermita District,City of Manila,6/12/2026 8:48,6/26/2023 3:33,346,2183,Lightning,Heatwave,Yes
194,Water Pipeline,Ermita District,City of Manila,3/14/2026 17:47,3/26/2024 14:26,9,829,Fallen Tree Branch,Heatwave,Yes
195,Water Pipeline,Ermita District,City of Manila,7/2/2026 21:48,9/1/2025 10:36,306,4828,Pipe Burst,Heavy Rain,Yes
196,Water Pipeline,North Bay Boulevard,Navotas City,3/19/2026 16:29,1/15/2022 23:26,1125,7159,Lightning,Clear,Yes
197,Electric Grid,North Bay Boulevard,Navotas City,7/23/2025 7:53,6/11/2024 2:53,1002,1364,Equipment Age,Clear,No
198,Water Pipeline,North Bay Boulevard,Navotas City,4/22/2023 21:10,7/14/2023 8:13,1225,3851,Pipe Burst,Heatwave,No
199,Electric Grid,Ermita District,City of Manila,8/30/2025 1:55,4/19/2022 9:51,751,9295,Equipment Age,Clear,No
200,Water Pipeline,Ermita District,City of Manila,2/25/2024 12:45,11/29/2024 20:34,216,1396,Equipment Age,Clear,No
201,Electric Grid,Ermita District,City of Manila,6/22/2023 7:52,10/8/2023 14:56,792,9478,Pipe Burst,Heavy Rain,Yes
202,Water Pipeline,North Bay Boulevard,Navotas City,8/29/2023 12:46,3/8/2024 17:32,290,6311,Fallen Tree Branch,Heatwave,No
203,Electric Grid,North Bay Boulevard,Navotas City,10/31/2022 16:05,2/2/2026 20:59,412,2078,Fallen Tree Branch,Heavy Rain,Yes
204,Electric Grid,North Bay Boulevard,Navotas City,11/10/2023 13:11,4/23/2026 0:23,85,4544,Fallen Tree Branch,Heavy Rain,No
205,Water Pipeline,Ermita District,City of Manila,8/4/2024 14:43,5/17/2025 4:14,298,9710,Fallen Tree Branch,Heatwave,No
206,Water Pipeline,Ermita District,City of Manila,4/2/2023 0:46,6/22/2023 7:12,249,7028,Lightning,Clear,Yes
