DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20050328,3/28/2005,2,Monday,Lunes,Lundi,28,87,1/14/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050329,3/29/2005,3,Tuesday,Martes,Mardi,29,88,1/14/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050330,3/30/2005,4,Wednesday,Miércoles,Mercredi,30,89,1/14/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050331,3/31/2005,5,Thursday,Jueves,Jeudi,31,90,1/14/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050401,4/1/2005,6,Friday,Viernes,Vendredi,1,91,1/14/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050402,4/2/2005,7,Saturday,Sábado,Samedi,2,92,1/14/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050403,4/3/2005,1,Sunday,Domingo,Dimanche,3,93,1/15/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050404,4/4/2005,2,Monday,Lunes,Lundi,4,94,1/15/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050405,4/5/2005,3,Tuesday,Martes,Mardi,5,95,1/15/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050406,4/6/2005,4,Wednesday,Miércoles,Mercredi,6,96,1/15/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050407,4/7/2005,5,Thursday,Jueves,Jeudi,7,97,1/15/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050408,4/8/2005,6,Friday,Viernes,Vendredi,8,98,1/15/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050409,4/9/2005,7,Saturday,Sábado,Samedi,9,99,1/15/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050410,4/10/2005,1,Sunday,Domingo,Dimanche,10,100,1/16/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050411,4/11/2005,2,Monday,Lunes,Lundi,11,101,1/16/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050412,4/12/2005,3,Tuesday,Martes,Mardi,12,102,1/16/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050413,4/13/2005,4,Wednesday,Miércoles,Mercredi,13,103,1/16/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050414,4/14/2005,5,Thursday,Jueves,Jeudi,14,104,1/16/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050415,4/15/2005,6,Friday,Viernes,Vendredi,15,105,1/16/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050416,4/16/2005,7,Saturday,Sábado,Samedi,16,106,1/16/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050417,4/17/2005,1,Sunday,Domingo,Dimanche,17,107,1/17/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050418,4/18/2005,2,Monday,Lunes,Lundi,18,108,1/17/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050419,4/19/2005,3,Tuesday,Martes,Mardi,19,109,1/17/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050420,4/20/2005,4,Wednesday,Miércoles,Mercredi,20,110,1/17/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050421,4/21/2005,5,Thursday,Jueves,Jeudi,21,111,1/17/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050422,4/22/2005,6,Friday,Viernes,Vendredi,22,112,1/17/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050423,4/23/2005,7,Saturday,Sábado,Samedi,23,113,1/17/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050424,4/24/2005,1,Sunday,Domingo,Dimanche,24,114,1/18/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050425,4/25/2005,2,Monday,Lunes,Lundi,25,115,1/18/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050426,4/26/2005,3,Tuesday,Martes,Mardi,26,116,1/18/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050427,4/27/2005,4,Wednesday,Miércoles,Mercredi,27,117,1/18/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050428,4/28/2005,5,Thursday,Jueves,Jeudi,28,118,1/18/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050429,4/29/2005,6,Friday,Viernes,Vendredi,29,119,1/18/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050430,4/30/2005,7,Saturday,Sábado,Samedi,30,120,1/18/1900,April,Abril,Avril,4,2,2005,1,4,2005,2
20050501,5/1/2005,1,Sunday,Domingo,Dimanche,1,121,1/19/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050502,5/2/2005,2,Monday,Lunes,Lundi,2,122,1/19/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050503,5/3/2005,3,Tuesday,Martes,Mardi,3,123,1/19/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050504,5/4/2005,4,Wednesday,Miércoles,Mercredi,4,124,1/19/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050505,5/5/2005,5,Thursday,Jueves,Jeudi,5,125,1/19/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050506,5/6/2005,6,Friday,Viernes,Vendredi,6,126,1/19/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050507,5/7/2005,7,Saturday,Sábado,Samedi,7,127,1/19/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050508,5/8/2005,1,Sunday,Domingo,Dimanche,8,128,1/20/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050509,5/9/2005,2,Monday,Lunes,Lundi,9,129,1/20/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050510,5/10/2005,3,Tuesday,Martes,Mardi,10,130,1/20/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050511,5/11/2005,4,Wednesday,Miércoles,Mercredi,11,131,1/20/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050512,5/12/2005,5,Thursday,Jueves,Jeudi,12,132,1/20/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050513,5/13/2005,6,Friday,Viernes,Vendredi,13,133,1/20/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050514,5/14/2005,7,Saturday,Sábado,Samedi,14,134,1/20/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050515,5/15/2005,1,Sunday,Domingo,Dimanche,15,135,1/21/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050516,5/16/2005,2,Monday,Lunes,Lundi,16,136,1/21/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050517,5/17/2005,3,Tuesday,Martes,Mardi,17,137,1/21/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050518,5/18/2005,4,Wednesday,Miércoles,Mercredi,18,138,1/21/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050519,5/19/2005,5,Thursday,Jueves,Jeudi,19,139,1/21/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050520,5/20/2005,6,Friday,Viernes,Vendredi,20,140,1/21/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050521,5/21/2005,7,Saturday,Sábado,Samedi,21,141,1/21/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050522,5/22/2005,1,Sunday,Domingo,Dimanche,22,142,1/22/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050523,5/23/2005,2,Monday,Lunes,Lundi,23,143,1/22/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050524,5/24/2005,3,Tuesday,Martes,Mardi,24,144,1/22/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050525,5/25/2005,4,Wednesday,Miércoles,Mercredi,25,145,1/22/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050526,5/26/2005,5,Thursday,Jueves,Jeudi,26,146,1/22/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050527,5/27/2005,6,Friday,Viernes,Vendredi,27,147,1/22/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050528,5/28/2005,7,Saturday,Sábado,Samedi,28,148,1/22/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050529,5/29/2005,1,Sunday,Domingo,Dimanche,29,149,1/23/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050530,5/30/2005,2,Monday,Lunes,Lundi,30,150,1/23/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050531,5/31/2005,3,Tuesday,Martes,Mardi,31,151,1/23/1900,May,Mayo,Mai,5,2,2005,1,4,2005,2
20050601,6/1/2005,4,Wednesday,Miércoles,Mercredi,1,152,1/23/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050602,6/2/2005,5,Thursday,Jueves,Jeudi,2,153,1/23/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050603,6/3/2005,6,Friday,Viernes,Vendredi,3,154,1/23/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050604,6/4/2005,7,Saturday,Sábado,Samedi,4,155,1/23/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050605,6/5/2005,1,Sunday,Domingo,Dimanche,5,156,1/24/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050606,6/6/2005,2,Monday,Lunes,Lundi,6,157,1/24/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050607,6/7/2005,3,Tuesday,Martes,Mardi,7,158,1/24/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050608,6/8/2005,4,Wednesday,Miércoles,Mercredi,8,159,1/24/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050609,6/9/2005,5,Thursday,Jueves,Jeudi,9,160,1/24/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050610,6/10/2005,6,Friday,Viernes,Vendredi,10,161,1/24/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050611,6/11/2005,7,Saturday,Sábado,Samedi,11,162,1/24/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050612,6/12/2005,1,Sunday,Domingo,Dimanche,12,163,1/25/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050613,6/13/2005,2,Monday,Lunes,Lundi,13,164,1/25/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050614,6/14/2005,3,Tuesday,Martes,Mardi,14,165,1/25/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050615,6/15/2005,4,Wednesday,Miércoles,Mercredi,15,166,1/25/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050616,6/16/2005,5,Thursday,Jueves,Jeudi,16,167,1/25/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050617,6/17/2005,6,Friday,Viernes,Vendredi,17,168,1/25/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050618,6/18/2005,7,Saturday,Sábado,Samedi,18,169,1/25/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050619,6/19/2005,1,Sunday,Domingo,Dimanche,19,170,1/26/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050620,6/20/2005,2,Monday,Lunes,Lundi,20,171,1/26/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050621,6/21/2005,3,Tuesday,Martes,Mardi,21,172,1/26/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050622,6/22/2005,4,Wednesday,Miércoles,Mercredi,22,173,1/26/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050623,6/23/2005,5,Thursday,Jueves,Jeudi,23,174,1/26/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050624,6/24/2005,6,Friday,Viernes,Vendredi,24,175,1/26/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050625,6/25/2005,7,Saturday,Sábado,Samedi,25,176,1/26/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050626,6/26/2005,1,Sunday,Domingo,Dimanche,26,177,1/27/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050627,6/27/2005,2,Monday,Lunes,Lundi,27,178,1/27/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050628,6/28/2005,3,Tuesday,Martes,Mardi,28,179,1/27/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050629,6/29/2005,4,Wednesday,Miércoles,Mercredi,29,180,1/27/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050630,6/30/2005,5,Thursday,Jueves,Jeudi,30,181,1/27/1900,June,Junio,Juin,6,2,2005,1,4,2005,2
20050701,7/1/2005,6,Friday,Viernes,Vendredi,1,182,1/27/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050702,7/2/2005,7,Saturday,Sábado,Samedi,2,183,1/27/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050703,7/3/2005,1,Sunday,Domingo,Dimanche,3,184,1/28/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050704,7/4/2005,2,Monday,Lunes,Lundi,4,185,1/28/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050705,7/5/2005,3,Tuesday,Martes,Mardi,5,186,1/28/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050706,7/6/2005,4,Wednesday,Miércoles,Mercredi,6,187,1/28/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050707,7/7/2005,5,Thursday,Jueves,Jeudi,7,188,1/28/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050708,7/8/2005,6,Friday,Viernes,Vendredi,8,189,1/28/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050709,7/9/2005,7,Saturday,Sábado,Samedi,9,190,1/28/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050710,7/10/2005,1,Sunday,Domingo,Dimanche,10,191,1/29/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050711,7/11/2005,2,Monday,Lunes,Lundi,11,192,1/29/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050712,7/12/2005,3,Tuesday,Martes,Mardi,12,193,1/29/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050713,7/13/2005,4,Wednesday,Miércoles,Mercredi,13,194,1/29/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050714,7/14/2005,5,Thursday,Jueves,Jeudi,14,195,1/29/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050715,7/15/2005,6,Friday,Viernes,Vendredi,15,196,1/29/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050716,7/16/2005,7,Saturday,Sábado,Samedi,16,197,1/29/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050717,7/17/2005,1,Sunday,Domingo,Dimanche,17,198,1/30/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050718,7/18/2005,2,Monday,Lunes,Lundi,18,199,1/30/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050719,7/19/2005,3,Tuesday,Martes,Mardi,19,200,1/30/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050720,7/20/2005,4,Wednesday,Miércoles,Mercredi,20,201,1/30/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050721,7/21/2005,5,Thursday,Jueves,Jeudi,21,202,1/30/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050722,7/22/2005,6,Friday,Viernes,Vendredi,22,203,1/30/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050723,7/23/2005,7,Saturday,Sábado,Samedi,23,204,1/30/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050724,7/24/2005,1,Sunday,Domingo,Dimanche,24,205,1/31/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
20050725,7/25/2005,2,Monday,Lunes,Lundi,25,206,1/31/1900,July,Julio,Juillet,7,3,2005,2,1,2006,1
